isJunior,lensColor,img,isFindInStore,isCustomizable,roxableLabel,brand,imgHover,isPolarized,colorsNumber,isOutOfStock,modelName,isEngravable,localizedColorLabel,name,listPrice,offerPrice
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672365146__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672365146__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,RB4147 BOYFRIEND,False,Black/Grey,RB4147 BOYFRIEND,$151.00,
False,Dark Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597364393__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597364393__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,RB4147 Boyfriend,False,Black/Blue,RB4147 Boyfriend,$151.00,
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672867060__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672867060__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,RB3716 Clubmaster Metal,False,Black/Blue,RB3716 Clubmaster Metal,$174.00,
False,Blue Bi-Mirror Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597043908__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597043908__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,RB3716 CLUBMASTER METAL,False,Blue/Blue,RB3716 CLUBMASTER METAL,$199.00,$159.20
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672923094__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672923094__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,VE2199,False,Black/Silver,VE2199,$317.00,$221.90
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652386317__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652386317__002.png?impolicy=SGH_bgtransparent&width=640,True,2 colors,False,GG0381SN,False,Black/Black,GG0381SN,$450.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289097464__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289097464__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,RB3267,False,Gold/Green,RB3267,$152.00,$76.00
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672737646__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672737646__002.png?impolicy=SGH_bgtransparent&width=640,False,8 colors,False,RB3647N ROUND DOUBLE BRIDGE,False,Gold/Grey,RB3647N ROUND DOUBLE BRIDGE,$199.00,
False,Gold,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672974850__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672974850__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,RB3647N Round Double Bridge,False,Gold/Brown,RB3647N Round Double Bridge,$189.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597073004__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597073004__002.png?impolicy=SGH_bgtransparent&width=640,False,9 colors,False,RB4306,False,Tortoise/Brown,RB4306,$151.00,
False,Purple,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392097750__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392097750__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,OO9272 Catalyst® (Low Bridge Fit),False,Transparent/Violet,OO9272 Catalyst® (Low Bridge Fit),$163.00,$81.50
