isjunior,lenscolor,img,isfindinstore,iscustomizable,roxablelabel,brand,imghover,ispolarized,colorsnumber,isoutofstock,modelname,isengravable,localizedcolorlabel,listprice,offerprice
False,Light Grey Gradient Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597195300__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597195300__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,DG4377,False,Black/Grey,372.00,186.00
False,Prizm Road Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392589552__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392589552__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,OO9471 Encoder,False,Black/Grey,255.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597073004__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597073004__002.png?impolicy=SGH_bgtransparent&width=640,False,9,False,RB4306,False,Tortoise/Brown,151.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597640404__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597640404__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,PR 24XS,False,White/Grey,293.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672556858__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672556858__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,BE4216,False,Black/Grey,268.00,
False,Gold,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672974850__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672974850__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,RB3647N Round Double Bridge,False,Gold/Brown,189.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672342314__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672342314__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,RB2132 NEW WAYFARER COLOR MIX,False,Grey/Grey,166.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/603429032654__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Maui Jim,https://assets.sunglasshut.com/is/image/LuxotticaRetail/603429032654__002.png?impolicy=SGH_bgtransparent&width=640,True,2,False,RED SANDS,False,Black/Grey,242.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/700285470269__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/700285470269__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,OO4054 Caveat™,False,Gold/Brown,180.00,90.00
False,Prizm Rose Gold Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392576989__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392576989__002.png?impolicy=SGH_bgtransparent&width=640,True,3,False,OO9222 Pasque,False,Black/Gold,212.00,
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125955522__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Michael Kors,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125955522__002.png?impolicy=SGH_bgtransparent&width=640,True,1,False,MK5004 Chelsea,False,Gold/Violet,139.00,69.50
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289653653__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289653653__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,RB3016 CLUBMASTER CLASSIC,False,Black/Green,163.00,
False,Bronze,https://assets.sunglasshut.com/is/image/LuxotticaRetail/603429038946__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Maui Jim,https://assets.sunglasshut.com/is/image/LuxotticaRetail/603429038946__002.png?impolicy=SGH_bgtransparent&width=640,True,2,False,723 OCEAN,False,Tortoise/Copper,262.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672066906__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672066906__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,RB4194,False,Black/Green,141.00,98.70
False,Clear Gradient Pink,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597529006__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597529006__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,DG2279,False,Pink/Pink,372.00,186.00
False,Brown Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597696890__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597696890__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,BE4344 DAISY,True,Pink/Brown,308.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672494501__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672494501__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB3136 Caravan,False,Gold/Green,163.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597643030__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597643030__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,VE2245,False,Gold/Grey,317.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652386362__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652386362__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,GG0034SN,False,Black/Grey,405.00,
